"country","capital_name","population","gdpPerCapita","Wealth_in_USD","currency","currency_code","Human_development_index","Human_development_index_rank"
"Nicaragua","Managua",6167237,1965.0,4972.0,"Nicaraguan córdoba","NIO",0.631,125
"Niger","Niamey",17138707,420.0,1111.0,"West African CFA franc","XOF",0.348,188
"Nigeria","Abuja",140431790,2640.0,6351.0,"Nigerian naira","NGN",0.514,152
"North Korea","Pyongyang",24052231,621.0,1800.0,"North Korean won","KPW",0.766,75
"Northern Cyprus","North Nicosia",286257,15109.0,,"Turkish lira",,,
"Norway","Oslo",5214890,72046.0,70066.0,"Norwegian krone","NOK",0.944,1
"Oman","Muscat, Oman",2773479,20059.0,44530.0,"Omani rial","OMR",0.793,52
"Panama","Panama City",3405813,11849.0,20512.0,"United States dollar",,0.78,60
"Panama","Panama City",3405813,11849.0,20512.0,"Panamanian balboa",,0.78,60
"Panama","Panama City",3405813,11849.0,20512.0,"ISO 4217",,0.78,60
"Papua New Guinea","Port Moresby",5190783,2283.0,2834.0,"Papua New Guinean kina","PGK",0.505,158
"Peru","Lima",28220764,6819.0,12638.0,"Peruvian sol","PEN",0.734,84
"Philippines","Manila",100981437,3073.0,7612.0,"Philippine peso","PHP",0.668,115
"Poland","Warsaw",38511824,13390.0,27654.0,"Polish złoty","PLN",0.843,36
"Posavina Canton","Orašje",48089,4541.7,,"Bosnia and Herzegovina convertible mark",,,
"Puerto Rico","San Juan, Puerto Rico",3725789,28123.0,35029.0,"United States dollar","USD",0.865,29
"Qatar","Doha",1699435,102785.0,145894.0,"Qatari riyal","QAR",0.85,32
"Republic of Ireland","Dublin",4757976,65871.0,69375.0,"Euro","EUR",0.916,6
"Republic of Macedonia","Skopje",2022547,5021.0,14631.0,"Macedonian denar","MKD",0.747,81
"Romania","Bucharest",20121641,9438.0,22319.0,"Romanian leu","RON",0.793,52
"Rwanda","Kigali",10515973,769.0,1784.0,"Rwandan franc","RWF",0.483,163
"Saint Kitts and Nevis","Basseterre",46325,16793.0,25913.0,"East Caribbean dollar","XCD",0.752,77
"Saint Lucia","Castries",183600,8187.0,11944.0,"East Caribbean dollar","XCD",0.729,89
"Saint Vincent and the Grenadines","Kingstown",109991,7123.0,11291.0,"East Caribbean dollar","XCD",0.72,97
"Samoa","Apia",179186,4618.0,5449.0,"Samoan tala","WST",0.702,105
"Senegal","Dakar",13508715,986.0,2525.0,"West African CFA franc","XOF",0.485,163
"Sierra Leone","Freetown",7075641,708.0,1534.0,"Sierra Leonean leone","SLL",0.413,181
"Slovakia","Bratislava",5397036,16138.0,29209.0,"Euro sign","EURb",0.844,35
"Slovenia","Ljubljana",1964036,21369.0,32027.0,"Euro","EUR",0.88,25
"South Africa","Cape Town",51770560,5859.0,13321.0,"South African rand","ZAR",0.666,116
"South Africa","Pretoria",51770560,5859.0,13321.0,"South African rand","ZAR",0.666,116
"South Africa","Bloemfontein",51770560,5859.0,13321.0,"South African rand","ZAR",0.666,116
"South Sudan","Juba",8260490,1139.0,1886.0,"South Sudanese pound","SSP",0.467,169
"Spain","Madrid",46423064,26823.0,36143.0,"Euro","EUR",0.876,26
"Sri Lanka","Colombo",20277597,3870.0,11189.0,"Sri Lankan rupee","LKR",0.757,73
"Sri Lanka","Sri Jayawardenepura Kotte",20277597,3870.0,11189.0,"Sri Lankan rupee","LKR",0.757,73
"Sudan","Khartoum",30894000,4500.0,4834.0,"Sudanese pound","SDG",0.473,166
"Suriname","Paramaribo",541638,9583.0,16623.0,"Surinamese dollar","SRD",0.714,103
"Swaziland","Mbabane",1018449,3847.0,9782.0,"Swazi lilangeni","SZL",0.531,150
"Swaziland","Lobamba",1018449,3847.0,9782.0,"Swazi lilangeni","SZL",0.531,150
"Sweden","Stockholm",9658301,48966.0,47319.0,"Swedish krona","SEK",0.907,14
"Switzerland","Bern",8139600,78179.0,59150.0,"Swiss franc","CHF",0.93,3
"São Tomé and Príncipe","São Tomé",192993,1715.0,3403.0,"São Tomé and Príncipe dobra","STD",0.555,143
"Tajikistan","Dushanbe",7564500,949.0,2247.0,"Somoni","TJS",0.624,129
"Tanzania","Dodoma",44928923,963.0,3080.0,"Tanzanian shilling","TZS",0.521,151
"Thailand","Bangkok",64785909,5938.0,16706.0,"Thai baht","THB",0.726,93
"The Gambia","Banjul",1882450,371.0,1715.0,"Gambian dalasi","GMD",0.441,172
"Third Hellenic Republic","Athens",10815197,18035.0,26606.0,"Euro","EUR",0.865,29
"Togo","Lomé",5337000,610.0,1567.0,"CFA franc","XOF",0.473,166
"Tonga","Nukuʻalofa",103036,4220.0,7344.0,"Tongan paʻanga","TOP",0.717,100
"Trinidad and Tobago","Port of Spain",1328019,17455.0,32432.0,"Trinidad and Tobago dollar","TTD",0.772,64
"Turkey","Ankara",79463663,9562.0,21198.0,"Turkish lira","TRY",0.761,72
"Ukraine","Kiev",48457102,2052.0,8230.0,"Ukrainian hryvnia","UAH",0.747,81
"Una-Sana Canton","Bihać",299343,4153.19,,"Bosnia and Herzegovina convertible mark",,,
"United Arab Emirates","Abu Dhabi",4106427,36060.0,67616.0,"United Arab Emirates dirham","AED",0.835,41
"United Kingdom","London",63181775,43902.0,42514.0,"Pound sterling","GBP; Pound sign£",0.907,14
"Uruguay","Montevideo",3286314,15505.0,21944.0,"Uruguayan peso","UYU",0.793,52
"Vanuatu","Port Vila",243304,3036.0,4916.0,"Vanuatu vatu","VUV",0.594,134
"Venezuela","Caracas",31416000,5908.0,15251.0,"Venezuelan bolívar","VEF",0.762,71
"Wallis and Futuna","Mata-Utu",12197,12640.0,,"CFP franc","XPF",0.793,132
"West Herzegovina Canton","Široki Brijeg",97893,4976.97,,"Bosnia and Herzegovina convertible mark",,,
"Yemen","Abd Rabbuh Mansur Hadi",19685000,1437.0,2927.0,"Yemeni rial","YER",0.5,154
"Yemen","Aden",19685000,1437.0,2927.0,"Yemeni rial","YER",0.5,154
"Yemen","Sana'a",19685000,1437.0,2927.0,"Yemeni rial","YER",0.5,154
"Zambia","Lusaka",13092666,,3917.0,"Zambian kwacha","ZMW",0.586,139
"Zanzibar","Zanzibar City",1303569,656.0,,"Tanzanian shilling","TZS",,
"Zimbabwe","Harare",13061239,1054.0,2133.0,"Botswana pula",,0.509,155
"Zimbabwe","Harare",13061239,1054.0,2133.0,"United States dollar",,0.509,155
"Zimbabwe","Harare",13061239,1054.0,2133.0,"South African rand",,0.509,155
